name,url,note
【A8.net】メディア会員募集(01-0501),http://www.a8.net/as/as_promo/,ASP
【.com/.net ０円～】独自ドメインの取得は国内シェアNo.1の＜お名前.com＞（07-0829）,http://www.onamae.com,ドメイン
「ロリポップ！」レンタルサーバー(02-0531),https://lolipop.jp/,サーバー
「セカイVPN」でネット検閲や地理的規制を一時的に回避！無料Wi-Fiでのセキュリティも確保(14-1016),https://www.interlink.or.jp/biz/aff/vpn/sekai.html?il_a8,総合（インターネット接続）
専用VPNサーバーを１台提供【グループ専用VPN / WG / WG + NGN】(20-0715),https://www.interlink.or.jp/biz/aff/vpn/telework_g.html?a8,総合（インターネット接続）
自宅から、出先から、海外から。日本の固定IPでVPNできる【マイIP/マイIP ソフト イーサ版】(20-0715),https://www.interlink.or.jp/biz/aff/vpn/myip_3min.html?a8,総合（インターネット接続）
【A8セルフバック】参加申請・成果反映用（06-1031）,http://support.a8.net/as/selfback/,ポイントサービス・懸賞
【A8.net】成果反映用プログラム,http://www.a8.net/,その他（その他）
【DMM FX】アフィリエイト初心者でも報酬GET！豪華な特典をプレゼント！（09-0714）,https://fx.dmm.com/lp/nmktg/lp0907open/,投資
【TOSSY】あらゆる取引がアプリひとつで完結！お得な特典が盛りだくさん！(25-1029),https://tossy.com/?pop=aff&pid=alladinoe_int,投資
【NEW】楽天アフィリエイト（11-1207）,http://www.rakuten.co.jp/,ASP
どこでも手軽にファックス　インターネットファックスなら【ｅＦａｘ】（11-1222）,https://www.efax.co.jp/landing/jp_22?VID=57515,その他（インターネット接続）
業界最速のキャッシュバック還元！更にオプション加入条件なし【auひかりサイト】(21-0924),https://www.auhikari-norikae.com/a81/?hs=si2dik7eqa,総合（インターネット接続）
最短即日キャッシュバック【ビッグローブ光】(17-1115),https://aun-biglobe.com/a81/?hs=uou115dp1g,その他（インターネット接続）
高速回線選ぶならコミュファ光！速度もキャッシュバックも満足度No1！【コミュファ光】(21-0625),https://aun-company.com/commufa/pt/?hs=6giqtxomuv,プロバイダー
VIO対応！コスパ重視型光美容機器【DR.ELLEMISSNUDE】(22-0124),https://www.drellemiss.jp/lp-nude,美容機器
【オプションなしで最大25000円CB】工事不要のSoftBank Air！コンセントに差してすぐ繋がる(18-1217),https://ns-air.net/a8_1/?af=8ma8YlH682X7xKlKTOBD,その他（インターネット接続）
【VCリッチセラム　新型ビタミンC誘導体美容液】(18-0628),https://www.kathyschoice.jp/vclp_af1/?ad_code=A8N,スキンケア
「シワ改善」×「シミ・美白」医薬部外品【RF28 Wエフェクトアイクリーム】(21-0304),https://www.rf28.com/2102afwe/?b=a8&argument=wThSQSQx&dmai=RF28_AF20,スキンケア
スマホのパケット量が使い放題で工事が不要！【SoftbankAir】(20-0828),https://air-snet.com/,プロバイダー
プロがスタイリングしたコーディネートをご自宅にお届け！【DROBE(ドローブ)】(20-0317),https://drobe.jp/,服
密かにブームの'特許取得・整体枕'！【Cure:Re THE MAKURA】(20-0430),https://ssl.quattrocart.com/amakura/,総合（健康）
ahamo (21-0917),https://ahamo.com/index.html,その他（インターネット接続）
カプセル型ビタミンC美容液【fru:C-フルーシー】(21-1008),https://b-shiki.jp/fruc/ga3B/2750eclat/?ct_W64C1c86d160fbWf,スキンケア
業界最安級格安SIM！【ロケットモバイル】(24-0424),https://rokemoba.com/personal-sim,その他（インターネット接続）
知育玩具と癒しキャラクター等心温まる雑貨＆愛犬と愛犬家の為のライフスタイルを提案(24-0830),https://shop.creativeyoko.co.jp/,子育て



